,Country,Date,Hemisphere,MonthOrder
56,AUSTRALIA,May,South,5.0
57,USA,May,North,5.0
58,USA,May,North,5.0
59,USA,May,North,5.0
60,USA,May,North,5.0
61,USA,May,North,5.0
62,USA,May,North,5.0
63,USA,May,North,5.0
64,USA,May,North,5.0
65,NEW ZEALAND,May,South,5.0
66,INDONESIA,Apr,South,4.0
67,USA,Apr,North,4.0
68,SOUTH AFRICA,Apr,South,4.0
69,AUSTRALIA,Apr,South,4.0
70,FRENCH POLYNESIA,Apr,South,4.0
71,USA,Apr,North,4.0
72,NEW CALEDONIA,Apr,South,4.0
73,CAPE VERDE,Apr,North,4.0
74,USA,Apr,North,4.0
75,USA,Apr,North,4.0
76,USA,Mar,North,3.0
77,AUSTRALIA,Mar,South,3.0
78,USA,Mar,North,3.0
79,AUSTRALIA,Mar,South,3.0
80,BAHAMAS,Mar,North,3.0
81,USA,Mar,North,3.0
82,USA,Mar,North,3.0
83,FIJI,Mar,South,3.0
84,USA,Mar,North,3.0
85,AUSTRALIA,Mar,South,3.0
86,BRAZIL,Mar,South,3.0
87,NEW CALEDONIA,Feb,South,2.0
88,NEW CALEDONIA,Feb,South,2.0
89,DOMINICAN REPUBLIC,Feb,North,2.0
90,CAYMAN ISLANDS,Feb,North,2.0
91,AUSTRALIA,Feb,South,2.0
92,AUSTRALIA,Feb,South,2.0
93,AUSTRALIA,Feb,South,2.0
94,SOUTH AFRICA,Jan,South,1.0
95,USA,Jan,North,1.0
96,USA,Jan,North,1.0
97,USA,Jan,North,1.0
98,UNITED ARAB EMIRATES,Jan,North,1.0
99,USA,Jan,North,1.0
100,AUSTRALIA,Jan,South,1.0
101,AUSTRALIA,Jan,South,1.0
102,AUSTRALIA,Jan,South,1.0
103,SOUTH AFRICA,Dec,South,12.0
104,SPAIN,Dec,North,12.0
105,USA,Dec,North,12.0
106,AUSTRALIA,Dec,South,12.0
107,BRAZIL,Dec,South,12.0
108,ARUBA,Dec,North,12.0
109,AUSTRALIA,Dec,South,12.0
110,BAHAMAS,Dec,North,12.0
111,SOUTH AFRICA,Dec,South,12.0
112,USA,Nov,North,11.0
113,USA,Nov,North,11.0
114,USA,Nov,North,11.0
115,AUSTRALIA,Nov,South,11.0
116,USA,Nov,North,11.0
117,USA,Nov,North,11.0
118,USA,Nov,North,11.0
119,MOZAMBIQUE,Nov,South,11.0
120,AUSTRALIA,Oct,South,10.0
121,USA,Oct,North,10.0
122,SOUTH AFRICA,Oct,South,10.0
123,USA,Oct,North,10.0
124,USA,Oct,North,10.0
125,MOZAMBIQUE,Oct,South,10.0
126,USA,Oct,North,10.0
127,USA,Oct,North,10.0
128,USA,Oct,North,10.0
129,USA,Oct,North,10.0
130,USA,Oct,North,10.0
131,MOZAMBIQUE,Oct,South,10.0
132,AUSTRALIA,Oct,South,10.0
133,USA,Oct,North,10.0
134,USA,Oct,North,10.0
135,USA,Oct,North,10.0
136,USA,Sep,North,9.0
137,AUSTRALIA,Sep,South,9.0
138,USA,Sep,North,9.0
139,USA,Sep,North,9.0
140,USA,Sep,North,9.0
141,USA,Sep,North,9.0
142,USA,Sep,North,9.0
143,USA,Sep,North,9.0
144,USA,Sep,North,9.0
145,AUSTRALIA,Sep,South,9.0
146,USA,Sep,North,9.0
147,USA,Sep,North,9.0
148,AUSTRALIA,Sep,South,9.0
149,USA,Sep,North,9.0
150,THAILAND,Sep,North,9.0
151,FIJI,Sep,South,9.0
152,USA,Aug,North,8.0
153,USA,Aug,North,8.0
154,USA,Aug,North,8.0
155,AUSTRALIA,Aug,South,8.0
156,USA,Aug,North,8.0
157,USA,Aug,North,8.0
158,USA,Aug,North,8.0
159,SPAIN,Aug,North,8.0
160,USA,Aug,North,8.0
161,AUSTRALIA,Jul,South,7.0
162,USA,Jul,North,7.0
163,USA,Jul,North,7.0
164,AUSTRALIA,Jul,South,7.0
165,USA,Jul,North,7.0
166,AUSTRALIA,Jul,South,7.0
167,REUNION,Jul,South,7.0
168,SOUTH AFRICA,Jul,South,7.0
169,USA,Jul,North,7.0
170,USA,Jul,North,7.0
171,FRENCH POLYNESIA,Jul,South,7.0
172,BAHAMAS,Jul,North,7.0
173,USA,Jul,North,7.0
174,AUSTRALIA,Jul,South,7.0
175,AUSTRALIA,Jul,South,7.0
176,USA,Jul,North,7.0
177,AUSTRALIA,Jun,South,6.0
178,USA,Jun,North,6.0
179,USA,Jun,North,6.0
180,SOUTH AFRICA,Jun,South,6.0
181,USA,Jun,North,6.0
182,SOUTH AFRICA,Jun,South,6.0
183,USA,Jun,North,6.0
184,AUSTRALIA,Jun,South,6.0
185,USA,Jun,North,6.0
186,USA,Jun,North,6.0
187,AUSTRALIA,Jun,South,6.0
188,USA,Jun,North,6.0
189,PUERTO RICO,Jun,North,6.0
190,USA,Jun,North,6.0
191,USA,Jun,North,6.0
192,USA,Jun,North,6.0
193,USA,Jun,North,6.0
194,USA,Jun,North,6.0
195,USA,Jun,North,6.0
196,USA,Jun,North,6.0
197,REUNION,Jun,South,6.0
198,USA,May,North,5.0
199,USA,May,North,5.0
200,FRENCH POLYNESIA,May,South,5.0
201,USA,May,North,5.0
202,USA,May,North,5.0
203,USA,May,North,5.0
204,NEW CALEDONIA,May,South,5.0
205,USA,May,North,5.0
206,AUSTRALIA,May,South,5.0
207,SOUTH AFRICA,May,South,5.0
208,USA,Apr,North,4.0
209,USA,Apr,North,4.0
210,AUSTRALIA,Apr,South,4.0
211,AUSTRALIA,Jun,South,6.0
212,USA,Apr,North,4.0
213,AUSTRALIA,Apr,South,4.0
214,REUNION,Apr,South,4.0
215,BRAZIL,Mar,South,3.0
216,USA,Apr,North,4.0
217,ITALY,Mar,North,3.0
218,SOUTH AFRICA,Mar,South,3.0
219,EGYPT,Mar,North,3.0
220,USA,Mar,North,3.0
221,FRENCH POLYNESIA,Mar,South,3.0
222,AUSTRALIA,Mar,South,3.0
223,MEXICO,Mar,North,3.0
224,FRENCH POLYNESIA,Mar,South,3.0
225,ATLANTIC OCEAN,Feb,Both hemispheres,2.0
226,REUNION,Feb,South,2.0
227,AUSTRALIA,Feb,South,2.0
228,AUSTRALIA,Feb,South,2.0
229,AUSTRALIA,Feb,South,2.0
230,AUSTRALIA,Jan,South,1.0
231,USA,Jan,North,1.0
232,AUSTRALIA,Jan,South,1.0
233,USA,Jan,North,1.0
234,AUSTRALIA,Jan,South,1.0
235,AUSTRALIA,Jan,South,1.0
236,AUSTRALIA,Jan,South,1.0
237,USA,Jan,North,1.0
238,BAHAMAS,Jan,North,1.0
239,SOUTH AFRICA,Jan,South,1.0
240,USA,Jan,North,1.0
241,AUSTRALIA,Dec,South,12.0
242,AUSTRALIA,Dec,South,12.0
243,GREECE,Dec,North,12.0
244,SOUTH AFRICA,Dec,South,12.0
245,USA,Dec,North,12.0
246,AUSTRALIA,Dec,South,12.0
247,JAPAN,Dec,North,12.0
248,AUSTRALIA,Dec,South,12.0
249,SPAIN,Dec,North,12.0
250,AUSTRALIA,Nov,South,11.0
251,MAURITIUS,Nov,South,11.0
252,AUSTRALIA,Nov,South,11.0
253,USA,Nov,North,11.0
254,USA,Nov,North,11.0
255,USA,Nov,North,11.0
256,AUSTRALIA,Nov,South,11.0
257,USA,Nov,North,11.0
258,USA,Oct,North,10.0
259,AUSTRALIA,Oct,South,10.0
260,USA,Oct,North,10.0
261,USA,Oct,North,10.0
262,USA,Oct,North,10.0
263,USA,Oct,North,10.0
264,AUSTRALIA,Oct,South,10.0
265,USA,Oct,North,10.0
266,USA,Oct,North,10.0
267,USA,Oct,North,10.0
268,AUSTRALIA,Oct,South,10.0
269,USA,Oct,North,10.0
270,USA,Oct,North,10.0
271,USA,Oct,North,10.0
272,USA,Oct,North,10.0
273,USA,Oct,North,10.0
274,AUSTRALIA,Oct,South,10.0
275,USA,Sep,North,9.0
276,FRENCH POLYNESIA,Sep,South,9.0
277,USA,Sep,North,9.0
278,AUSTRALIA,Sep,South,9.0
279,USA,Sep,North,9.0
280,USA,Sep,North,9.0
281,USA,Sep,North,9.0
282,SPAIN,Sep,North,9.0
283,USA,Aug,North,8.0
284,USA,Aug,North,8.0
285,USA,Aug,North,8.0
286,USA,Aug,North,8.0
287,SPAIN,Aug,North,8.0
288,USA,Aug,North,8.0
289,USA,Aug,North,8.0
290,USA,Aug,North,8.0
291,USA,Aug,North,8.0
292,AUSTRALIA,Aug,South,8.0
293,USA,Aug,North,8.0
294,USA,Aug,North,8.0
295,BAHAMAS,Aug,North,8.0
296,USA,Aug,North,8.0
297,USA,Aug,North,8.0
298,USA,Aug,North,8.0
299,USA,Aug,North,8.0
300,USA,Aug,North,8.0
301,USA,Aug,North,8.0
302,SOUTH AFRICA,Aug,South,8.0
303,NO COUNTRY DATA,Aug,Both hemispheres,8.0
304,USA,Jul,North,7.0
305,REUNION,Jul,South,7.0
306,USA,Jul,North,7.0
307,SPAIN,Jul,North,7.0
308,USA,Jul,North,7.0
309,USA,Jul,North,7.0
310,BAHAMAS,Jul,North,7.0
311,USA,Jul,North,7.0
312,USA,Jul,North,7.0
313,USA,Jul,North,7.0
314,USA,Jul,North,7.0
315,USA,Jul,North,7.0
316,ST. MARTIN,Jun,North,6.0
317,BAHAMAS,Jun,North,6.0
318,AUSTRALIA,Jun,South,6.0
319,AUSTRALIA,Jun,South,6.0
320,AUSTRALIA,Jun,South,6.0
321,BRAZIL,Jun,South,6.0
322,USA,Jun,North,6.0
323,AUSTRALIA,Jun,South,6.0
324,JAPAN,Jun,North,6.0
325,USA,Jun,North,6.0
326,USA,Jun,North,6.0
327,AUSTRALIA,Jun,South,6.0
328,USA,Jun,North,6.0
329,AUSTRALIA,May,South,5.0
330,FRANCE,May,North,5.0
331,AUSTRALIA,May,South,5.0
332,ECUADOR,Nov,South,11.0
333,USA,May,North,5.0
334,AUSTRALIA,May,South,5.0
335,USA,May,North,5.0
336,USA,May,North,5.0
337,USA,May,North,5.0
338,USA,May,North,5.0
339,USA,May,North,5.0
340,AUSTRALIA,Apr,South,4.0
341,USA,Apr,North,4.0
342,USA,Apr,North,4.0
343,SOUTH AFRICA,Apr,South,4.0
344,SOUTH AFRICA,Apr,South,4.0
345,USA,Apr,North,4.0
346,USA,Apr,North,4.0
347,AUSTRALIA,Apr,South,4.0
348,AUSTRALIA,Mar,South,3.0
349,SOUTH AFRICA,Mar,South,3.0
350,USA,Mar,North,3.0
351,USA,Mar,North,3.0
352,NEW CALEDONIA,Mar,South,3.0
353,AUSTRALIA,Mar,South,3.0
354,CAYMAN ISLANDS,Mar,North,3.0
355,AUSTRALIA,Mar,South,3.0
356,AUSTRALIA,Mar,South,3.0
357,USA,Mar,North,3.0
358,FRENCH POLYNESIA,Feb,South,2.0
359,PAPUA NEW GUINEA,Feb,South,2.0
360,AUSTRALIA,Feb,South,2.0
361,TRINIDAD & TOBAGO,Feb,North,2.0
362,NEW ZEALAND,Feb,South,2.0
363,AUSTRALIA,Jan,South,1.0
364,NEW ZEALAND,Jan,South,1.0
365,JAPAN,Jan,North,1.0
367,SOUTH AFRICA,Dec,South,12.0
368,KIRIBATI,Dec,South,12.0
369,USA,Dec,North,12.0
370,USA,Dec,North,12.0
371,AUSTRALIA,Dec,South,12.0
372,USA,Dec,North,12.0
373,AUSTRALIA,Dec,South,11.0
374,USA,Nov,North,11.0
375,AUSTRALIA,Nov,South,11.0
376,USA,Nov,North,11.0
377,AUSTRALIA,Nov,South,11.0
378,BAHAMAS,Nov,North,11.0
379,USA,Nov,North,11.0
380,USA,Nov,North,11.0
381,USA,Nov,North,10.0
382,AUSTRALIA,Oct,South,10.0
383,REUNION,Oct,South,10.0
384,AUSTRALIA,Oct,South,10.0
385,AUSTRALIA,Oct,South,10.0
386,USA,Oct,North,10.0
387,USA,Oct,North,10.0
388,USA,Oct,North,10.0
389,SOUTH AFRICA,Oct,South,10.0
390,AUSTRALIA,Oct,South,10.0
391,USA,Oct,North,10.0
392,USA,Oct,North,10.0
393,USA,Oct,North,9.0
394,ISRAEL,Sep,North,9.0
395,USA,Sep,North,9.0
396,USA,Sep,North,9.0
397,USA,Sep,North,9.0
398,USA,Sep,North,9.0
399,USA,Sep,North,9.0
400,USA,Sep,North,9.0
401,USA,Sep,North,9.0
402,USA,Sep,North,9.0
403,USA,Sep,North,9.0
404,USA,Sep,North,9.0
405,BAHAMAS,Sep,North,9.0
406,USA,Sep,North,9.0
407,BAHAMAS,Sep,North,8.0
408,USA,Aug,North,8.0
409,USA,Aug,North,8.0
410,FRANCE,Aug,North,8.0
411,USA,Aug,North,8.0
412,AUSTRALIA,Aug,South,8.0
413,USA,Aug,North,8.0
414,USA,Aug,North,8.0
415,USA,Aug,North,8.0
416,USA,Aug,North,8.0
417,USA,Aug,North,8.0
418,SOUTH AFRICA,Aug,South,8.0
419,USA,Aug,North,8.0
420,USA,Aug,North,7.0
421,USA,Jul,North,7.0
422,BAHAMAS,Jul,North,7.0
423,MEXICO,Jul,North,7.0
424,USA,Jul,North,7.0
425,BAHAMAS,Jul,North,7.0
426,BAHAMAS,Jul,North,7.0
427,BRAZIL,Jul,South,7.0
428,USA,Jul,North,7.0
429,USA,Jul,North,7.0
430,REUNION,Jul,South,7.0
431,DIEGO GARCIA,Jul,South,7.0
432,USA,Jul,North,7.0
433,SPAIN,Jul,North,7.0
434,AUSTRALIA,Jul,South,7.0
435,TAIWAN,Jul,North,6.0
436,JAMAICA,Jun,North,6.0
437,USA,Jun,North,6.0
438,USA,Jun,North,6.0
439,USA,Jun,North,6.0
440,USA,Jun,North,6.0
441,USA,Jun,North,6.0
442,SOUTH AFRICA,Jun,South,6.0
443,USA,Jun,North,6.0
444,USA,Jun,North,6.0
445,USA,Jun,North,6.0
446,AUSTRALIA,Jun,South,6.0
447,USA,Jun,North,5.0
448,USA,May,North,5.0
449,BRAZIL,May,South,5.0
450,PALESTINIAN TERRITORIES,May,North,5.0
451,ECUADOR,May,South,5.0
452,USA,May,North,5.0
453,REUNION,May,South,5.0
454,USA,May,North,5.0
455,AUSTRALIA,May,South,4.0
456,MEXICO,Apr,North,4.0
457,AUSTRALIA,Apr,South,4.0
458,USA,Apr,North,4.0
459,SOUTH AFRICA,Apr,South,4.0
460,USA,Apr,North,4.0
461,GUAM,Apr,South,4.0
462,FRENCH POLYNESIA,Apr,South,4.0
463,USA,Apr,North,4.0
464,AUSTRALIA,Apr,South,4.0
465,USA,Apr,North,4.0
466,AUSTRALIA,Apr,South,3.0
467,SEYCHELLES,Mar,South,3.0
468,BELIZE,Mar,North,3.0
469,BAHAMAS,Mar,North,3.0
470,SOUTH AFRICA,Mar,South,3.0
471,SOUTH AFRICA,Mar,South,3.0
472,JAMAICA,Mar,North,3.0
473,AUSTRALIA,Mar,South,3.0
474,PHILIPPINES,Mar,North,3.0
475,SOUTH AFRICA,Mar,South,3.0
476,NEW ZEALAND,Mar,South,2.0
477,USA,Feb,North,2.0
478,USA,Feb,North,2.0
479,USA,Feb,North,2.0
480,FRENCH POLYNESIA,Feb,South,2.0
481,JAMAICA,Feb,North,2.0
482,AUSTRALIA,Feb,South,1.0
483,AUSTRALIA,Jan,South,1.0
484,AUSTRALIA,Jan,South,1.0
485,USA,Jan,North,1.0
486,NEW ZEALAND,Jan,South,1.0
487,AUSTRALIA,Jan,South,1.0
488,USA,Jan,North,12.0
489,AUSTRALIA,Dec,South,12.0
490,AUSTRALIA,Dec,South,12.0
491,SOUTH AFRICA,Dec,South,12.0
492,AUSTRALIA,Dec,South,12.0
493,USA,Dec,North,12.0
494,AUSTRALIA,Dec,South,12.0
495,NEW ZEALAND,Dec,South,12.0
496,USA,Dec,North,11.0
497,AUSTRALIA,Nov,South,11.0
498,MEXICO,Nov,North,11.0
499,USA,Nov,North,11.0
500,USA,Nov,North,11.0
501,USA,Nov,North,11.0
502,USA,Nov,North,10.0
503,USA,Oct,North,10.0
504,USA,Oct,North,10.0
505,USA,Oct,North,10.0
506,USA,Oct,North,10.0
507,USA,Oct,North,10.0
508,USA,Oct,North,10.0
509,NIGERIA,Oct,Both hemispheres,10.0
510,USA,Oct,North,10.0
511,AUSTRALIA,Oct,South,10.0
512,USA,Oct,North,9.0
513,USA,Sep,North,9.0
514,USA,Sep,North,9.0
515,TONGA,Sep,South,9.0
516,USA,Sep,North,9.0
517,USA,Sep,North,9.0
518,USA,Sep,North,9.0
519,USA,Sep,North,9.0
520,USA,Sep,North,9.0
521,USA,Sep,North,9.0
522,USA,Sep,North,9.0
523,USA,Sep,North,9.0
524,USA,Sep,North,9.0
525,SCOTLAND,Sep,North,8.0
526,AUSTRALIA,Aug,South,8.0
527,BRAZIL,Aug,South,8.0
528,USA,Aug,North,8.0
529,AUSTRALIA,Aug,South,8.0
530,USA,Aug,North,8.0
531,REUNION,Aug,South,8.0
532,FRENCH POLYNESIA,Aug,South,8.0
533,USA,Aug,North,7.0
534,AUSTRALIA,Jul,South,7.0
535,USA,Jul,North,7.0
536,USA,Jul,North,7.0
537,USA,Jul,North,7.0
538,REUNION,Jul,South,7.0
539,TRINIDAD & TOBAGO,Jul,North,7.0
540,CANADA,Jul,North,7.0
541,AUSTRALIA,Jul,South,7.0
542,USA,Jul,North,7.0
543,BAHAMAS,Jul,North,7.0
544,AUSTRALIA,Jul,South,7.0
545,USA,Jul,North,7.0
546,SOUTH AFRICA,Jul,South,7.0
547,CROATIA,Jul,North,6.0
548,USA,Jun,North,6.0
549,USA,Jun,North,6.0
550,USA,Jun,North,6.0
551,AUSTRALIA,Jun,South,6.0
552,USA,Jun,North,6.0
553,AUSTRALIA,Jun,South,6.0
554,USA,Jun,North,6.0
555,USA,Jun,North,6.0
556,USA,Jun,North,6.0
557,USA,Jun,North,6.0
558,USA,Jun,North,6.0
559,USA,Jun,North,6.0
560,USA,Jun,North,6.0
561,AUSTRALIA,Jun,South,6.0
562,ITALY,Jun,North,6.0
563,AUSTRALIA,Jun,South,6.0
564,USA,Jun,North,6.0
565,USA,Jun,North,6.0
566,USA,Jun,North,5.0
567,MEXICO,May,North,5.0
568,USA,May,North,5.0
569,USA,May,North,5.0
570,FIJI,May,South,5.0
571,USA,May,North,5.0
572,USA,May,North,5.0
573,USA,May,North,5.0
574,USA,May,North,4.0
575,SOUTH AFRICA,Apr,South,4.0
576,AUSTRALIA,Apr,South,4.0
577,USA,Apr,North,4.0
578,USA,Apr,North,4.0
579,AUSTRALIA,Apr,South,3.0
580,USA,Mar,North,3.0
581,AUSTRALIA,Mar,South,3.0
582,AUSTRALIA,Mar,South,3.0
583,USA,Mar,North,3.0
584,USA,Mar,North,3.0
585,USA,Mar,North,3.0
586,NEW ZEALAND,Mar,South,3.0
587,AUSTRALIA,Mar,South,3.0
588,REUNION,Mar,South,3.0
589,USA,Mar,North,3.0
590,SAUDI ARABIA,Mar,North,3.0
591,CHILE,Mar,South,3.0
592,USA,Mar,North,2.0
593,AUSTRALIA,Feb,South,2.0
594,SOUTH AFRICA,Feb,South,2.0
595,AUSTRALIA,Feb,South,2.0
596,BAHAMAS,Feb,North,1.0
597,USA,Jan,North,1.0
598,AUSTRALIA,Jan,South,1.0
599,TAIWAN,Jan,North,1.0
600,AUSTRALIA,Jan,South,1.0
601,SOUTH AFRICA,Jan,South,1.0
602,USA,Jan,North,1.0
603,AUSTRALIA,Jan,South,1.0
604,AUSTRALIA,Jan,South,1.0
605,USA,Jan,North,12.0
606,ANTIGUA,Dec,North,12.0
607,ECUADOR,Dec,South,12.0
608,USA,Dec,North,12.0
609,USA,Dec,North,12.0
610,SOUTH AFRICA,Dec,South,12.0
611,AUSTRALIA,Dec,South,12.0
612,SOUTH AFRICA,Dec,South,12.0
613,AUSTRALIA,Dec,South,12.0
614,USA,Dec,North,12.0
615,AUSTRALIA,Dec,South,12.0
616,AUSTRALIA,Dec,South,12.0
617,INDONESIA,Dec,South,11.0
618,AUSTRALIA,Nov,South,11.0
619,USA,Nov,North,11.0
620,PAPUA NEW GUINEA,Nov,South,11.0
621,BRAZIL,Nov,South,11.0
622,REUNION,Nov,South,11.0
623,USA,Nov,North,10.0
624,SCOTLAND,Oct,North,10.0
625,SOUTH AFRICA,Oct,South,10.0
626,AUSTRALIA,Oct,South,10.0
627,USA,Oct,North,10.0
628,AUSTRALIA,Oct,South,10.0
629,USA,Oct,North,10.0
630,USA,Oct,North,10.0
631,AUSTRALIA,Oct,South,10.0
632,REUNION,Oct,South,10.0
633,USA,Oct,North,10.0
634,USA,Oct,North,10.0
635,USA,Oct,North,9.0
636,DOMINICAN REPUBLIC,Sep,North,9.0
637,SOUTH AFRICA,Sep,South,9.0
638,USA,Sep,North,9.0
639,USA,Sep,North,9.0
640,USA,Sep,North,9.0
641,REUNION,Sep,South,9.0
642,KENYA,Sep,North,9.0
643,USA,Sep,North,9.0
644,USA,Sep,North,9.0
645,PAPUA NEW GUINEA,Sep,South,9.0
646,USA,Sep,North,9.0
647,AUSTRALIA,Sep,South,9.0
648,USA,Sep,North,9.0
649,USA,Sep,North,8.0
650,AUSTRALIA,Aug,South,8.0
651,USA,Aug,North,8.0
652,RUSSIA,Aug,North,8.0
653,USA,Aug,North,8.0
654,USA,Aug,North,8.0
655,SOUTH AFRICA,Aug,South,8.0
656,RUSSIA,Aug,North,8.0
657,USA,Aug,North,8.0
658,USA,Aug,North,8.0
659,RUSSIA,Aug,North,8.0
660,FRENCH POLYNESIA,Aug,South,8.0
661,USA,Aug,North,8.0
662,SEYCHELLES,Aug,South,8.0
663,USA,Aug,North,8.0
664,USA,Aug,North,8.0
665,SEYCHELLES,Aug,South,8.0
666,BRAZIL,Aug,South,7.0
667,PHILIPPINES,Jul,North,7.0
668,USA,Jul,North,7.0
669,SOUTH AFRICA,Jul,South,7.0
670,USA,Jul,North,7.0
671,REUNION,Jul,South,7.0
672,USA,Jul,North,7.0
673,BAHAMAS,Jul,North,7.0
674,USA,Jul,North,7.0
675,USA,Jul,North,7.0
676,REUNION,Jul,South,7.0
677,COLUMBIA,Jul,North,7.0
678,TURKS & CAICOS,Jul,North,6.0
679,BRAZIL,Jun,South,6.0
680,SOUTH AFRICA,Jun,South,6.0
681,USA,Jun,North,6.0
682,USA,Jun,North,6.0
683,USA,Jun,North,6.0
684,TURKS & CAICOS,Jun,North,6.0
685,COSTA RICA,Jun,North,6.0
686,REUNION,Jun,South,6.0
687,UNITED KINGDOM,Jun,North,6.0
688,USA,Jun,North,6.0
689,COLUMBIA,Jun,North,6.0
690,USA,Jun,North,6.0
691,USA,Jun,North,6.0
692,MALAYSIA,Jun,North,6.0
693,USA,Jun,North,5.0
694,SOUTH AFRICA,May,South,5.0
695,USA,May,North,5.0
696,USA,May,North,5.0
697,NEW CALEDONIA,May,South,5.0
698,SOUTH AFRICA,May,South,5.0
699,USA,May,North,5.0
700,USA,May,North,5.0
701,USA,May,North,5.0
702,UNITED ARAB EMIRATES,May,North,5.0
703,SOUTH AFRICA,May,South,5.0
704,USA,May,North,4.0
705,AUSTRALIA,Apr,South,4.0
706,USA,Apr,North,4.0
707,NEW ZEALAND,Apr,South,4.0
708,INDONESIA,Apr,South,4.0
709,FIJI,Apr,South,4.0
710,USA,Apr,North,3.0
711,MEXICO,Mar,North,3.0
712,AUSTRALIA,Mar,South,3.0
713,MEXICO,Mar,North,3.0
714,FIJI,Mar,South,3.0
715,AUSTRALIA,Mar,South,3.0
716,EGYPT,Mar,North,3.0
717,AUSTRALIA,Mar,South,3.0
718,AUSTRALIA,Mar,South,2.0
719,NEW CALEDONIA,Feb,South,2.0
720,REUNION,Feb,South,2.0
721,AUSTRALIA,Feb,South,2.0
722,AUSTRALIA,Feb,South,2.0
723,AUSTRALIA,Feb,South,2.0
724,MEXICO,Feb,North,2.0
725,SOUTH AFRICA,Feb,South,2.0
726,MEXICO,Feb,North,1.0
727,MEXICO,Jan,North,1.0
728,BAHAMAS,Jan,North,1.0
729,AUSTRALIA,Jan,South,1.0
730,SOUTH AFRICA,Jan,South,1.0
731,MEXICO,Jan,North,1.0
732,AUSTRALIA,Jan,South,1.0
733,USA,Jan,North,12.0
734,FIJI,Dec,South,12.0
735,USA,Dec,North,12.0
736,EGYPT,Dec,North,12.0
737,INDONESIA,Dec,South,12.0
738,EGYPT,Dec,North,12.0
739,EGYPT,Dec,North,12.0
740,EGYPT,Dec,North,11.0
741,EGYPT,Nov,North,11.0
742,SAMOA,Nov,South,11.0
743,AUSTRALIA,Nov,South,11.0
744,USA,Nov,North,11.0
745,DOMINICAN REPUBLIC,Nov,North,11.0
746,INDONESIA,Nov,South,11.0
747,AUSTRALIA,Nov,South,11.0
748,AUSTRALIA,Nov,South,10.0
749,AUSTRALIA,Oct,South,10.0
750,USA,Oct,North,10.0
751,AZORES,Oct,North,10.0
752,USA,Oct,North,10.0
753,AUSTRALIA,Oct,South,10.0
754,USA,Oct,North,10.0
755,EGYPT,Oct,North,10.0
756,AUSTRALIA,Oct,South,10.0
757,BAHAMAS,Oct,North,10.0
758,BAHAMAS,Oct,North,10.0
759,SOUTH AFRICA,Oct,South,10.0
760,USA,Oct,North,9.0
761,USA,Sep,North,9.0
762,SOUTH AFRICA,Sep,South,9.0
763,AUSTRALIA,Sep,South,9.0
764,USA,Sep,North,9.0
765,TONGA,Sep,South,9.0
766,USA,Sep,North,9.0
767,USA,Sep,North,9.0
768,USA,Sep,North,9.0
769,SOLOMON ISLANDS,Sep,South,9.0
770,BAHAMAS,Sep,North,8.0
771,USA,Aug,North,8.0
772,AUSTRALIA,Aug,South,8.0
773,USA,Aug,North,8.0
774,AUSTRALIA,Aug,South,8.0
775,SOUTH KOREA,Aug,Both hemispheres,8.0
776,AUSTRALIA,Aug,South,8.0
777,USA,Aug,North,8.0
778,MALTA,Aug,North,8.0
779,USA,Aug,North,8.0
780,USA,Aug,North,8.0
781,USA,Aug,North,8.0
782,USA,Aug,North,7.0
